method,n,EDR,ARD,WDS,UER,invalid_reference_rate,infeasible_target_rate,priority_violation_rate,unsafe_execution_rate
baseline_greedy,60,1.0,0.7333333333333333,2.066666666666667,0.16666666666666666,0.0,0.0,0.1,0.16666666666666666
baseline_rule_deadline,60,1.0,0.6666666666666666,2.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
baseline_rule_priority,60,1.0,0.8333333333333334,2.3333333333333335,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
baseline_weighted_heuristic,60,1.0,0.8333333333333334,2.3333333333333335,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
qwen3_framework,60,0.9666666666666667,0.7166666666666667,2.0166666666666666,0.05,0.0,0.0,0.23333333333333334,0.05
qwen3_only,60,0.9333333333333333,0.6666666666666666,1.9,0.06666666666666667,0.0,0.0,0.26666666666666666,0.06666666666666667
